RB処理日,年度_4月起点,年月,四半期_4月起点,会社_営業_コード_最新,会社_営業_名_最新,営業部門コード_最新,営業部門名_最新,営業部署コード_最新,営業部署名_最新,会社_G発注元コード_最新,会社_G発注元名_最新,G発注元部門コード_最新,G発注元部門名_最新,G発注元部署コード_最新,G発注元部署名_最新,会社_制作媒体コード_最新,会社_制作媒体名_最新,制作媒体部門コード_最新,制作媒体部門名_最新,制作媒体部署コード_最新,制作媒体部署名_最新,得意先コード,得意先名,広告主コード,広告主名,広告主業種_大コード,広告主業種_大名,広告主業種_中コード,広告主業種_中名,広告主業種_小コード,広告主業種_小名,広告主企業グループコード,広告主企業グループ名,広告主企業グループ業種_大コード,広告主企業グループ業種_大名,広告主企業グループ業種_中コード,広告主企業グループ業種_中名,広告主企業グループ業種_小コード,広告主企業グループ業種_小名,支払先コード,支払先名,マスメディア区分,マスメディア区分名,実施媒体社コード,実施媒体社名,売上種目コード,売上種目名,媒体種目コード,媒体種目名,媒体種類コード,媒体種類名,ビークルコード,ビークル名,仕入高予算,仕入高_建値,媒体戦略原価B予算,媒体戦略原価B_正味,媒体収益予算,媒体収益実績_正味,FC営収予算_社内_社外,FC営収_社内_社外,スタッフコスト
20250108,2024,202501,4Q,H004,株式会社博報堂コンサルティング,SD01,第一営業本部,SD01-01,第一営業部,OD01,博報堂本社,OD01-01,企画部門,OD01-01-A,企画第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C011,ソフトバンク株式会社,A012,パナソニック,IND05,電気機器,IND05-01,家電,IND05-01-01,生活家電,AG11,パナソニックグループ,GI05,電気機器,GI05-01,家電,GI05-01-01,生活家電,P017,株式会社東急エージェンシー,M04,ラジオ,MC15,集英社,SC04,雑誌広告,MT07,ディスプレイ,MK01,地上波テレビ,V006,読売新聞朝刊全国版,18067918,16609144,10048799,8542603,2264854,2770920,2672499,2681695,1287561
20240107,2023,202401,4Q,H007,株式会社博報堂DYスポーツマーケティング,SD04,メディア営業本部,SD04-02,メディアプランニング部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C014,株式会社日立製作所,A017,ファーストリテイリング,IND08,流通・小売,IND08-01,アパレル,IND08-01-01,カジュアル,AG16,ファーストリテイリンググループ,GI08,流通・小売,GI08-01,アパレル,GI08-01-01,カジュアル,P003,日本テレビ放送網株式会社,M03,雑誌,MC03,フジテレビ,SC04,雑誌広告,MT06,リスティング,MK13,駅看板,V011,LINE広告,7860592,9313458,4889352,3590282,1106039,1409943,616193,622924,481779
20230502,2023,202305,1Q,E010,株式会社読広インターナショナル,SD01,第一営業本部,SD01-01,第一営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C004,株式会社資生堂,A016,楽天,IND04,情報・通信,IND04-02,IT,IND04-02-01,EC,AG15,楽天グループ,GI04,情報・通信,GI04-02,IT,GI04-02-01,EC,P019,株式会社集英社,M05,デジタル,MC11,Yahoo!,SC07,動画広告,MT04,月刊誌,MK15,デジタルサイネージ,V008,Google検索広告,28626508,32929817,21411587,16936202,7285694,8453763,4247721,4300090,967474
20230821,2023,202308,2Q,E010,株式会社読広インターナショナル,SD03,デジタル営業本部,SD03-01,デジタル第一営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM02,博報堂プロダクツ,PM02-01,デジタル制作部門,PM02-01-A,デジタル制作部,C012,パナソニック株式会社,A003,本田技研工業,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG02,ホンダグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P013,ヤフー株式会社,M05,デジタル,MC11,Yahoo!,SC08,SNS広告,MT06,リスティング,MK10,ディスプレイ広告,V007,日経新聞朝刊,46544302,47969110,34896182,39053872,6700609,5936710,6345763,4536882,1937044
20240325,2023,202403,4Q,E009,株式会社大広ONES,SD02,第二営業本部,SD02-02,第四営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C009,株式会社NTTドコモ,A009,NTTドコモ,IND04,情報・通信,IND04-01,通信,IND04-01-01,携帯電話,AG08,NTTグループ,GI04,情報・通信,GI04-01,通信,GI04-01-01,携帯電話,P004,株式会社フジテレビジョン,M02,新聞,MC03,フジテレビ,SC10,屋外広告,MT01,スポットCM,MK07,FM放送,V001,TBS系全国ネット,17300392,22324418,9730767,7530758,4263050,4875440,1812229,1860790,942292
20240124,2023,202401,4Q,E006,株式会社コスモ・コミュニケーションズ,SD04,メディア営業本部,SD04-01,メディア営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C014,株式会社日立製作所,A017,ファーストリテイリング,IND08,流通・小売,IND08-01,アパレル,IND08-01-01,カジュアル,AG16,ファーストリテイリンググループ,GI08,流通・小売,GI08-01,アパレル,GI08-01-01,カジュアル,P020,株式会社講談社,M06,OOH（屋外）,MC14,JR東日本企画,SC10,屋外広告,MT07,ディスプレイ,MK02,BS・CS,V008,Google検索広告,44713828,32553090,31422654,32164336,10608429,8522256,3627876,4283842,2310735
20240813,2024,202408,2Q,H010,株式会社博報堂DYホールディングス,SD01,第一営業本部,SD01-02,第二営業部,OD02,博報堂本社,OD02-01,制作部門,OD02-01-A,制作第一部,PM04,スパイスボックス,PM04-01,SNS運用部門,PM04-01-A,SNS運用部,C014,株式会社日立製作所,A016,楽天,IND04,情報・通信,IND04-02,IT,IND04-02-01,EC,AG15,楽天グループ,GI04,情報・通信,GI04-02,IT,GI04-02-01,EC,P014,Twitter Japan株式会社,M05,デジタル,MC14,JR東日本企画,SC09,交通広告,MT05,FMスポット,MK10,ディスプレイ広告,V008,Google検索広告,40313449,29336268,30033925,33917198,9844497,9734863,3724924,2712022,1767013
20240517,2024,202405,1Q,E003,株式会社博報堂マーケティングシステムズ,SD03,デジタル営業本部,SD03-02,デジタル第二営業部,OD05,読広本社,OD05-01,クリエイティブ部門,OD05-01-A,クリエイティブ部,PM03,アイ・スタジオ,PM03-01,Web制作部門,PM03-01-A,Web制作部,C003,日産自動車株式会社,A020,セブン＆アイ,IND08,流通・小売,IND08-02,コンビニ,IND08-02-01,コンビニエンスストア,AG19,セブン＆アイグループ,GI08,流通・小売,GI08-02,コンビニ,GI08-02-01,コンビニエンスストア,P018,株式会社サイバーエージェント,M01,テレビ,MC02,日本テレビ,SC05,ラジオスポット,MT09,駅構内,MK12,インストリーム動画,V004,テレ朝系全国ネット,35815455,34756347,20949697,14931937,8640929,7457689,5061380,5686775,2497783
20240717,2024,202407,2Q,Y003,株式会社読広プランニング,SD01,第一営業本部,SD01-02,第二営業部,OD04,大広本社,OD04-01,営業企画部門,OD04-01-A,営業企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C022,株式会社ニトリホールディングス,A001,トヨタ自動車,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-01,乗用車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P016,株式会社JR東日本企画,M05,デジタル,MC15,集英社,SC02,テレビタイム,MT08,動画配信,MK13,駅看板,V004,テレ朝系全国ネット,42189263,30455997,28707385,21894144,9756584,7651920,4594659,5727741,938103
20230512,2023,202305,1Q,E010,株式会社読広インターナショナル,SD05,関西営業本部,SD05-02,関西第二営業部,OD03,DYMPA,OD03-01,メディア部門,OD03-01-A,メディア企画部,PM01,博報堂プロダクツ,PM01-01,映像制作部門,PM01-01-A,映像制作部,C007,キリンホールディングス株式会社,A002,レクサス,IND01,自動車・輸送機器,IND01-01,自動車,IND01-01-02,高級車,AG01,トヨタグループ,GI01,自動車・輸送機器,GI01-01,自動車,GI01-01-01,乗用車,P008,株式会社読売新聞社,M04,ラジオ,MC12,Meta,SC02,テレビタイム,MT08,動画配信,MK05,週刊誌,V006,読売新聞朝刊全国版,22724459,17478372,16699979,14225971,4079196,3477554,2262081,2588591,742818
