RB処理日,会社,部門G,部門,部署,年度,年月,四半期,管理項目コード,管理項目名称,補助項目コード,補助項目名称,実績,予算
20250103,大広,デジタル統括,第一営業部,開発課,2024,202501,4Q,200001,人件費,S001,通常,136791554,102812700
20240428,大広,クリエイティブ統括,第一営業部,第二課,2024,202404,1Q,500001,広告主負担金,S003,調整,50467109,45974503
20230402,博報堂プロダクツ,管理統括,制作部,運用課,2023,202304,1Q,100003,売上総利益,S002,特別,370507494,416567630
20241002,博報堂プロダクツ,管理統括,総務部,開発課,2024,202410,3Q,400002,制作収入,S003,調整,91072412,70924891
20250202,読売広告社,メディア統括,第一営業部,第三課,2024,202502,4Q,500001,広告主負担金,S005,確定,296523581,487533283
20230505,大広,クリエイティブ統括,第一営業部,開発課,2023,202305,1Q,200002,経費,S001,通常,94972233,93011798
20241205,博報堂DYメディアパートナーズ,クリエイティブ統括,財務経理部,開発課,2024,202412,3Q,100002,売上原価,S002,特別,438261937,408055779
20240823,博報堂,営業統括,第一営業部,運用課,2024,202408,2Q,300002,経常利益,S003,調整,187638032,241438684
20240212,大広,管理統括,第二営業部,管理課,2023,202402,4Q,500001,広告主負担金,S004,見込,349960190,325864259
20240114,大広,管理統括,クリエイティブ部,第一課,2023,202401,4Q,400002,制作収入,S005,確定,311205613,449648023
20230719,博報堂プロダクツ,管理統括,第一営業部,第一課,2023,202307,2Q,300002,経常利益,S001,通常,237074544,306141158
20230418,博報堂プロダクツ,管理統括,経営企画部,第一課,2023,202304,1Q,100002,売上原価,S002,特別,76568220,107299338
20230412,読売広告社,メディア統括,デジタルマーケティング部,第一課,2023,202304,1Q,400002,制作収入,S003,調整,180502111,157924281
20240928,大広,クリエイティブ統括,第一営業部,開発課,2024,202409,2Q,200001,人件費,S001,通常,56535596,89323571
20230727,博報堂DYメディアパートナーズ,管理統括,メディアプランニング部,第三課,2023,202307,2Q,100003,売上総利益,S002,特別,335165303,335720575
20230723,大広,管理統括,財務経理部,運用課,2023,202307,2Q,200003,減価償却費,S004,見込,139979939,217821118
20240719,博報堂DYメディアパートナーズ,メディア統括,経営企画部,第三課,2024,202407,2Q,100001,売上高,S002,特別,533548930,479830134
20230407,博報堂,営業統括,第二営業部,管理課,2023,202304,1Q,100003,売上総利益,S005,確定,238713043,191941506
20250323,読売広告社,営業統括,経営企画部,第二課,2024,202503,4Q,200001,人件費,S003,調整,243292888,329071001
20250203,大広,営業統括,クリエイティブ部,運用課,2024,202502,4Q,300002,経常利益,S001,通常,36083901,31023895
20240722,読売広告社,デジタル統括,第一営業部,開発課,2024,202407,2Q,500002,媒体社リベート,S002,特別,33404907,32130880
20240108,博報堂プロダクツ,営業統括,第二営業部,第二課,2023,202401,4Q,400001,媒体手数料収入,S003,調整,182298253,229689402
20241213,大広,営業統括,制作部,企画課,2024,202412,3Q,400002,制作収入,S002,特別,163133050,199489140
20241125,博報堂プロダクツ,管理統括,経営企画部,開発課,2024,202411,3Q,200001,人件費,S003,調整,332983993,328855017
